summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood
tN8glt4YQdUYVBNKH5Pdzx3USHlBjVqlpnp1dDq7FHQZGuhiWJlqRFhNjA,zhong guo2,1186,I,162,104,TRUE,FALSE,FALSE
NxNHBVEPjK_65iJ8iHRLqkKY3Ne-zw-3iE00RsTzzfjpwBY,Nem9,844,I,452,421,FALSE,FALSE,TRUE
GvdaasvMJQMeNwROMiOLTW_j-1oAfTT9beWttcUnNp934II,hoooing,900,I,476,439,FALSE,FALSE,TRUE
t7hPWysBrx3tzSuk7ZMn0eJDTxqwsHLp0nQe_lzPMU_wOx0ipQbgxvxjUQ,TFBlade2,1309,I,253,194,TRUE,FALSE,FALSE
ZQ844FRsS1F8FHWFItYHkJcKVzyPyDq0teW3AK82pu2rNlo,Exiled Heretic,856,I,850,803,FALSE,FALSE,FALSE
xQ-gvhOWCzdoVkXacx3M-2nxAWw5LzkWRH5dQKCcMZ7Nhj3vkyblqLJ1nA,san nicolas 1841,1067,I,174,131,FALSE,FALSE,FALSE
jG21OIeVN-8MdGDwW2dX8LfDjuNvuix5NVsRrBeGmh5V-7cDTrmww6_Ugg,gonna win worlds,946,I,160,139,TRUE,FALSE,FALSE
CWkAmjlj60iELDvuyhrpcuAZSbiVsgHSt94ui5GS4ny3aEY,1nori,1140,I,282,229,FALSE,FALSE,FALSE
vbQNkqRFUqmHFGGgJzlUIX6UaJQRk8elcTCpFSpeAFDBguKYEX_rH6Bqcw,Acerr,906,I,162,135,TRUE,FALSE,FALSE
KcKwHQZ_blq-PvmkV5rGzwH15JwNKDxDwmQ4XRejIR_wYCA,c2 meteos,1420,I,492,422,TRUE,FALSE,FALSE
oG__7sKPa8LN1Fk787otF5Ff6fNf6RdHc747Rk7twx3yZYM,Snow2,846,I,233,193,FALSE,FALSE,TRUE
NuZRVb-QB5xOf1SVZdBa8lb2yGUZV3bjBq2E9hESVzlWzFo,ReasonToBelieve,1232,I,643,594,TRUE,FALSE,FALSE
s-mqmZnTFCVDqYBiFmLaxKtgdn7p_ilyFM9sbF0ESwnsT0KsPL2iq4VHyg,Previous1,846,I,123,93,FALSE,FALSE,TRUE
lVxpsCwumt9CBx-z9219opvbyS-YV1-pXkCTu9YtJnZzBNw,Oricorio,853,I,125,86,FALSE,FALSE,TRUE
cr2pZm8XY6qrICadk6zplE4slM2C7xIOrDTXygY_hios8DYo1344uUswUw,ChaoxLoL,1027,I,146,101,FALSE,FALSE,FALSE
ScLRkvlBLEk3du7gwPjEoUbczDBY2ML5PbgOaiLZ2Efwenj9S1-gx41YfQ,PATREON TARZANED,1160,I,156,137,TRUE,FALSE,FALSE
L4sT8INfpBvFaqlb7IfDzE9OApNIlALm5tVPRf6LMz7geUs,spam tab,1291,I,232,177,TRUE,FALSE,FALSE
nmbesAqgRtfmiZtSwMQOHeCWJfjUmS-ty28kzTpFSswSqNIh,Seolyn,814,I,301,265,FALSE,FALSE,FALSE
RpEsX1AKkOToRP5quZwQJ6bxQYQLBa2bbvsI5pgr_jPqONluRbQ7aOZOdw,kimchi jg,1020,I,254,245,TRUE,FALSE,FALSE
grPLN-SSATpINBHivdTTGrRcMFJgLrwSXkXBiCXf14tPAd0Y,Andoqs,1011,I,360,313,FALSE,FALSE,FALSE
9kCQHM5L5nrp6jdLo4mp2xzM1VeYvR3P69e9nI49IrprP78,Neøø,1412,I,276,222,TRUE,FALSE,FALSE
FADuiwsirxakWD9bEn058tJOmAbjTW2fDeFTy-IwRO_zcrZphe1GRma08Q,Fragile Fantasy,1045,I,170,126,TRUE,FALSE,FALSE
D9VN2erqyJpgPgV6KZStd3RXwBD0BanobGqQXqf9bLn-ucQ,I am Súnlight,1279,I,275,229,TRUE,FALSE,FALSE
mvjBlWk6XG2KTgRRez_xfQ-ZM3j41Wm5is5DyAG69R2xYfs,UCI XiaoDanny,1000,I,898,833,FALSE,FALSE,FALSE
Uw5zEnKQ7yDcPaq-O0rEbM6dwKNYUwcVMpUp87bGr3SiAJI,FrosFores,857,I,168,128,TRUE,FALSE,FALSE
bqTTCTHkXrY7TmDasTJkF4amfoed6bUDLw8PF_iq2JNBvMc,CyanInkstone,837,I,161,127,FALSE,FALSE,FALSE
Hz1lg6aqD9iv5eAovhGb7G5QaXan5aiNjBlxWTx_FA-pNorebWgyEnVGbQ,GYMKING,1074,I,371,323,TRUE,FALSE,FALSE
_c-yjlZmF5p9JO1S3Bq0SAecdMBC1BvYKWgdWpMXolrROmw3,pretty angel,909,I,296,249,FALSE,FALSE,FALSE
Kc-aEU8j181GjUcirIc9hdvD3UhApbicTnwp7Ncd5hqCi-v9yrZxaE5o8g,k m,877,I,201,143,FALSE,FALSE,TRUE
hpGO-9ie9X5dRfjJRGPqMXFTGQXSV6-osCgnL3me14K1e7XQ,abyssalwhip2,926,I,303,269,FALSE,FALSE,FALSE
XRTKPt98_rmZK_p-MO3ZJgqN0FxTne_9ak9QfotUTv-Qtys,rklckp251,1011,I,259,213,TRUE,FALSE,FALSE
LzpwWnGWq5Rmo4YNFxtCZf_K4xKUpERFnGFPayO68yLgby52,twtv itakute,958,I,157,123,TRUE,FALSE,FALSE
1QEiVspHuUGShPp_FjZNjCcuiF6tMYJJcUWko-fpe7k7wPg,5tunt,1221,I,305,254,TRUE,FALSE,FALSE
8fJJso35ymh61WBIqq790aHxOlg8oABzktTBvvkfXBQEuuI,CaptBear,923,I,172,137,FALSE,FALSE,FALSE
s1gUnKSF4SUeC-xsIasZefdQwNtfVg7lnQW1Lg_Cxqvvvps,baekho,872,I,261,221,FALSE,FALSE,FALSE
jC9V-_3XXbifQssTa8nvELlQyN49zL6aHOqJUS0Nn3Wfyc0,taibotxd,882,I,326,285,TRUE,FALSE,FALSE
tlLLI3yfNFiqUiUYsukVvEBrpS_GvOAw1q2A40rwR8dD1gM,Zamudo,1018,I,199,157,FALSE,FALSE,FALSE
-lThQtJ4EhZ_6Ju8yNmoeJQhVt0eUC8hCtojCq-1PVnzegY,lIlIIllIl,850,I,329,285,FALSE,FALSE,TRUE
R4kCStyaSMCBxCI4lT6wNK-gcAhN80Nj74c5ZgPQeHqm55s,Suntail,864,I,271,226,FALSE,FALSE,TRUE
S7uKNqzH9_BNP1iOXa0zP4N4F0Zm1y4mAyzMbJDpD0g2sHTK,FlowerCat9,882,I,105,92,FALSE,FALSE,FALSE
VpJgwvusM2rzZZyqOmrPdyDZ_dwUczBWwdapYIoQ087ABgiD,Downy Hyung,915,I,177,152,FALSE,FALSE,TRUE
84KaX5jwP-IQiay2rcLHn7Dqs4Vf4QBugiLhER6uA5VGPVs,Good Boi,1140,I,381,339,TRUE,FALSE,FALSE
gtyqeEql1iWFuFIMPByBycaEc_S0xa9Fdf-BeYDCYWcS5DJZ,rovex7,852,I,285,245,FALSE,FALSE,FALSE
3MGoMaAtrQe--Pi3XQBWChDFhOGV2uzk_tXNxr3ie6mkrX68,EU Red,1095,I,197,154,TRUE,FALSE,FALSE
ZwjaRP-Xi5yJPJdIUxHsePN0lYrOmZUeDeBaRgXNZMPYfxhY,Mixtsure,900,I,441,394,FALSE,FALSE,TRUE
jObSIaAwwHAVOHrxLnOwszmaMhufaVhbGgiznfg_bD8SPVM,Doinp,1002,I,367,327,TRUE,FALSE,FALSE
a_uKajIHf_keX6Xt5aczYZtLSr_LoKJSX8rZTCeZWBeMDqA,Delllarth,1173,I,372,308,TRUE,FALSE,FALSE
MqTG6GmVqGQwIokpSRHxjpwnk1NVWhZsEYZdrZVFO-JIDqknk0_VVm4-Lg,shochi,1161,I,682,634,TRUE,FALSE,FALSE
6IEZ_Nh1gFBR9QMgarIGwGZqF793LHUhM_nBZFTfR8QyHw2l,yukino cat,885,I,425,393,FALSE,FALSE,FALSE
PCs8zEn3Pu32aF7u_RXNj-X17RjIzOT28ySfIMxTQlbbIXtDz90a39wEVQ,San martin,1001,I,244,207,TRUE,FALSE,FALSE
WaXvJ9ZEPZHgVO1YfchrXaqi15wTiSspemYir_jNcRt5SO0,Denathor,1016,I,428,388,TRUE,FALSE,FALSE
SrdC62juOeT9XGzIAKjBVcUJdIqOLmifHwYFSUrUdPGQ84xJ,GRIZZLEY,1226,I,278,226,TRUE,FALSE,FALSE
TwWvamwdj1AsxPtj5ODwVWNJvt5Acdl6opsvPwcEnzwvIemh,First Kyu,875,I,284,250,FALSE,FALSE,FALSE
OwjZNb3Gpa2jjM98N9OD0TvdvxNyA3kN5nuL7D_-48sa1cI,cant offrole,1008,I,564,524,TRUE,FALSE,FALSE
UIpDlbQMZ-sNirJEn271Y7-vRhlHH4x6E-2j4aL_iK0k-uo,Magı,879,I,168,132,FALSE,FALSE,FALSE
6FQWU1NmNIwXuHO5ejPs6_vBD9VNtShy-a_q4uZd2Ee3tH4,Geiger,859,I,733,712,FALSE,FALSE,TRUE
8twwrdK2B9qijvD0jutHBlbmtCP6SQ_M2IgMudvGSfUe2BA,Cupic,1577,I,316,242,TRUE,FALSE,FALSE
N46Sh8TNcD4SuShDHM7uHmG39meElDeZC_POBmf6Ak9OqF0bshmZIsG6JQ,Pants are Back,875,I,245,214,FALSE,FALSE,FALSE
t6uVlUC6ORVUJ9IMTgLCY9luyUs6V0DT6NkkKjaWCqOx7rs,Saico,1035,I,781,742,FALSE,FALSE,FALSE
FX9iRdA2u-8SczmEaKvfl-vr3_gRICWAl8MWE46bfbHg9UE,Z Score,1143,I,409,368,FALSE,FALSE,FALSE
drjJYPhdTVC_FI66hBb0Y93RJV_46HcVBter4QcyzX5fzsg,Repobah,944,I,97,46,FALSE,FALSE,FALSE
ZQeCOGXjIGSfL8c23spaYv8tXUUgfzUn6OOrVqoJ-r_tT3vOsi3v1adonw,cant win top,1034,I,301,265,TRUE,FALSE,FALSE
4BSJZfhGcwHqzilKMWAaLd3Qg85_cCZW3QK_sLemoiKasuanT2Q6mTakRA,donbray1,991,I,133,77,FALSE,FALSE,FALSE
qkfbcpGkjBNHdRpXuv3u2s9nY8Nf9ggjQG27gqPX0CPg5-zLESoaHtu1sg,hanql,1078,I,239,228,TRUE,FALSE,FALSE
ipbr6Dc-1vvlaup9DLmhXN5WSXf0tvoi6n5dTqbw84Hsn4_9,Li Xiu Yue,1106,I,150,102,FALSE,FALSE,FALSE
LUnhYi-UBscTF_0l5Oqj3gcrmw0TebhYiUHw1gRO8ebVU2Pj,always plan ahea,854,I,313,277,TRUE,FALSE,FALSE
HmnOdglGKtLAxnHl7XiX9TwexNo-8Mg2ZDbRXPTv1tOfL33L,Cxzy,844,I,220,193,FALSE,FALSE,FALSE
3VaBpkWT2Ra4LinNNMC_gpwWDfvPcpa_nqXF5LT3I4Aw-Vk,Ayukura,846,I,250,211,FALSE,FALSE,TRUE
BuBt9AzmDTW2hxuCnUHrvt4ZcsPBaQTl04jCJ6Q9kFfdTbRc, N L,861,I,114,98,FALSE,FALSE,FALSE
v2G0IsvxYZvdg2lMBVjEcGiNY63g97JElUlzXStSq9AD0q7lBpkGJ8SJSA,Minui,933,I,261,220,FALSE,FALSE,FALSE
Wyvj2e98TbRaDU76-9e5KLLc8nw-yWcnNTTL08F6kFBQE1o,Kyriu,943,I,141,101,FALSE,FALSE,FALSE
n_oA_YDd3Dd6l5hz0iH3GcNrvkXkqKbXI7XgSB4_JRk2V4s,TempestLoveYuely,1056,I,218,182,TRUE,FALSE,FALSE
q7VNKINMBDB5p1z_jd4s2W8mt8ghmJUfdKAtjcCrTPVaDbqedU6EDtgNJg,Ban Dao Tie He,1007,I,188,168,TRUE,FALSE,FALSE
JTVgD0-nvnJOjYXp9h92cRz31b_RHQm43b9z1AsOjMfdWSs,supp come top ,1761,I,250,199,TRUE,FALSE,FALSE
5yp3SpGQGdqAkwatxsfmpwSTA_0AzabwKxwRV3Z5GdwcW30,new story,887,I,379,314,FALSE,FALSE,FALSE
1uYc-bzXd7tQKNIwxqrM0uayqepun_wmXTFQs9H5NGuzE3gz,MoeKiller99,849,I,240,160,FALSE,FALSE,TRUE
MX_hMMsCZQC4Zfnbhme_IJOhRPkHb_4i3ndpXHHmB_0brgM,Ssumdayday,1055,I,254,215,TRUE,FALSE,FALSE
A5v-PGYXG5lt55r5whH8i609FB2W_i0wv4d1CrzypKZ3tuDE,SiddyWiddy123,1200,I,135,83,FALSE,FALSE,FALSE
amGdU3x1pw2eI69j0jYSucUk3Tz8GgLlwhMFVH9tgNnJ-Lg,Emperor of Light,881,I,119,88,FALSE,FALSE,FALSE
wk-tTtd5eKUixCuRxpve48W0ZJZ3VxeOb0zCUyYPT4ERonmI7PIGNCDksA,TTV KoKooPuffs,978,I,319,275,FALSE,FALSE,FALSE
5NF7xe_zl-PTIq6WQJA0-7H9NWQ9Lm9cow6ax2EnrnvAZz4z8pISXnd2BA,Axwerbit,1011,I,193,144,TRUE,FALSE,FALSE
2KiNwatk-7tdoAAlJ0c7RmgyFGZ72yFpFM7SK6h2Giz8BdM,TSM FTX Solo,1217,I,398,334,TRUE,FALSE,FALSE
C8Jn1s1TCGWYnY9fujPflmWTJCf-o5MDOBI2NeMByQ_IbEdt,FORA999,1243,I,161,95,TRUE,FALSE,FALSE
kq3K5aJ6ANYwsM2_cS61MBE4Uwl34ltGUXzmLZihTi6n3Po,SiddyWiddy2,1201,I,127,107,TRUE,FALSE,FALSE
uT-aztqseXkOZtSIWjEchIMC5VUyVe0igmk0rEyw8VYz9CI,Prymari,915,I,861,827,FALSE,FALSE,FALSE
V_mVdbsqNu_01weyOSjpeQJFOAua-iFp7LWoGDZZ8cMPpbw,provlng,900,I,357,323,TRUE,FALSE,FALSE
fJ1DYkZLCrbe_GcrAy9X70DEjDT_Hpmzxiu_JMcoI9g-P1U,King of Shadowss,994,I,354,271,FALSE,FALSE,FALSE
Lh1iDiOndK5GczYlA0ODK_s7ht4JrdRlmDKpoPbAAM5uyaA,Feather Daddy,1565,I,732,663,TRUE,FALSE,FALSE
T5NVQVXn5tbxqzpAl2eQFigiJz2e4lug-dvEunPmxHcezJA,Qitong,1272,I,233,210,TRUE,FALSE,FALSE
D5DtYySdoOAdTz8OSqZe6Ea3CIitcL88QA09w281_NlNJzc,DrewDozer,1011,I,237,194,FALSE,FALSE,FALSE
S0WFmF3neGQbgLL7uUzF0yfYUdb5Rm9vEY9FXyqXm5DHp9Q,Dacryagogue,846,I,278,242,FALSE,FALSE,FALSE
6cMqO-nDrEC8yJNfk14diU0A_1wid10B-tLtPKZkg1pimAID91pr6hblOA,TSM FTX Chime,1011,I,344,296,FALSE,FALSE,FALSE
DySM_p6KruQ3HywhwjOnVAkMofC0oZMCSAGQ4c8osH6tzZ0,Liń,847,I,496,439,FALSE,FALSE,TRUE
8E-jtAEQosslb-JdR5kpfhPiFD8vTwsJUfvgu5-xM7mfyh1S,Nonstopping,852,I,86,62,FALSE,FALSE,FALSE
3rg23qWlbT5AKLOLwQuQZyJoG3QrlxbLwWEjRIFwsOBeW5DNmm_SPys9Iw,McDonald Region7,885,I,299,270,TRUE,FALSE,FALSE
qDsxqo_Ij8fmOrfS5lyRsKfbQ8K1XeHb-4-ljWuhQkClYw0O,Love Aurora,881,I,250,221,FALSE,FALSE,FALSE
ZZQokK5Ym90K_ZwmlKUyryEX0pNySbiK85fe0PQeM-uF1MA,100 Sword,1460,I,267,199,TRUE,FALSE,FALSE
2VL3_OlZZi5EGRe76vgje9QWKOCZzfx01Aiy7bKGOKmmD0iC,03jg,892,I,403,368,FALSE,FALSE,FALSE
PlGsvAsKJeLcYjFWZEf_Ffmai4d7l1UEO6QayPZa5j8im9s,KryRa,1102,I,168,119,FALSE,FALSE,FALSE
8ss1anAZueltS07k9g10LpVtHttjmODfelKU6ZFaFqIiMgI,Fishlord,1128,I,449,399,TRUE,FALSE,FALSE
Oat0T2ZV5732nFw9WuNzBt1Qx6S70Co3COPTautx97SUZo8,la che de shen,1130,I,831,776,TRUE,FALSE,FALSE
iiZWPjUjd9CbXVMQeCxA33hQqB8AeP0US89Ev4kFEX9nboM,Karasmai v9 ,955,I,408,378,FALSE,FALSE,FALSE
vH0G5e7I0CUqW1JMbDAstF6GpOJ8uofaYNcJSh7ojlHNLuG9Bpyw0ev2oQ,FLY Yuuji,1028,I,328,282,FALSE,FALSE,FALSE
KZBVOzRR4qsatgObNmi6L-3YQ5nx62puj-QH65pATWbH7-nTVsEfekTxOQ,bigboichoi69,1107,I,349,300,TRUE,FALSE,FALSE
h0pbUfqGVybyHV8gtfu45LK_u4bxgorFh-4TpaTP1EUhkWru,ttv Tempest,950,I,155,113,FALSE,FALSE,FALSE
9_Dlf23BojsHLH-PGkssneTgUyVjmOeA420UH79p6zerCgo,Fanthom,865,I,240,206,TRUE,FALSE,FALSE
tQqyWPDAWFI91W45a_YGu_m5VZWw453Qfe6EZWaiHqjqy-8,Wx Mjm978244659,1203,I,232,191,TRUE,FALSE,FALSE
EebxOmeiOR7eQ_6PX0wDJE2m5hUx8uhub0xx_I5H1Tjs2sLT65AcGdaVDQ,concede,855,I,338,290,FALSE,FALSE,TRUE
ugmQ_1WuhVyY-kY-CPTGvKF4JjougaYat_dX_mGdUZOhGThZ,SkyTec,978,I,240,206,TRUE,FALSE,FALSE
HcZJI0AIHWhq7JjE1BlgfyJff6CrHs0CREKWkS7byf7KcPQ,Breezyyy,863,I,500,476,TRUE,FALSE,FALSE
JU73-6VpGtLiXstrRiUk_XTgwv9znw_L334itiRpQ_fuvu4,zeyzal7,1373,I,155,91,TRUE,FALSE,FALSE
OfKyQuwGlkaJwfCl_MiazEX8TuvCejiQSoKkX2GXm_egy12PKiuAca7tUg,MU APA,1684,I,292,217,TRUE,FALSE,FALSE
h_Dhsz3czxlhF-ThVlRmXehuiSbCk2uQrZqSmE8YQi81EWKb0JYi975w5g,SappyMaskSalesmn,979,I,394,329,TRUE,FALSE,FALSE
d09OCUuCgkSOBEe9x2OsRN5ONzEoJLOVsLmr9bItt7dn7Zc,AnDa,975,I,277,236,TRUE,FALSE,FALSE
9I-CGWqbLXHqkFJF6WydZJG_0_tn1ZlPRIbDo9xSxbL4dB6di7GlQ3q3pQ,June Yongarimin,978,I,148,106,FALSE,FALSE,FALSE
7MdYL1q_miZh5Q9qAiiX7SH0f4BZjayRGFh79y6yQN8cgik,Bazz B,1220,I,230,175,FALSE,FALSE,FALSE
jwTPHKv55LrAa8NhXqh_aynKkNlutX4ieZftwJkpfoLLF9M,Thats Not Fervor,906,I,200,172,TRUE,FALSE,FALSE
aIepDw7MjphTy_vOf3ltqKcsjaxJXwrzLYJWB5Lux7koGMY,Tomo9,910,I,356,315,FALSE,FALSE,TRUE
cTsS1KYJLucbeGj84ivtxVUBFRJk-oNR2rf00Ui6pA2jhFU_,Yunqi,957,I,263,221,TRUE,FALSE,FALSE
CuyWZ2CkRLW_EATTOXvG4-Vka0pIenB2h1gzYtz2knbdo0U,no draven day 1,1141,I,377,317,FALSE,FALSE,FALSE
S-SqNduMlx3HRVEfRJUpu9NKaTpY2-VRtS7FgWfjMxvvhr0,Rathma,883,I,193,155,FALSE,FALSE,FALSE
qavRlrNCkkasRuYFqXUaJNJR9HYgZJOOtIgoczAYEDkZ,Ablazeolive,1706,I,256,179,TRUE,FALSE,FALSE
1I8EhW9tQtY-rlJGuxMbGGQCV1roD2xpJNLxsjvohINIHMc,Nightmisty,947,I,202,158,FALSE,FALSE,FALSE
WhTmQkpuf884I0pja24z6rQZ0t3efRg22PWudwZFvZmFgtVf,popthepenguin,946,I,279,169,FALSE,FALSE,FALSE
YlpC1vEH8bJUFTVQeQWi4-0hgMFGdTq18Ko45JwKkTKQ-ElZjpUtGq2RUA,timal,1439,I,203,140,TRUE,FALSE,FALSE
Z952dVVd8WfldVm40YvN2Zh3oR-sN5dLyoVSyTe3izbjlCd4,SolNeverDie,1109,I,430,370,TRUE,FALSE,FALSE
SxXFLAnxQAqirKYr3Pp3-j2Icag37SJRHLx_s3MqhBqwgZk,ToastyAlex,1240,I,405,345,TRUE,FALSE,FALSE
