"summonerName","summonerID","leaguePoints","wins","losses","total_matches","win_percentage"
"Jarikay","O1KNQjQXo6Ag3qaeTLIevRlrl2T3LjiTAOdCxr8zBeqowMI",9,134,107,241,55.60
"Vin Blanc","weUxIxqALQXrpkGs-UI4cyIl8NxBZyScFp_rPx245yKZsIk",443,398,318,716,55.59
"ItIsIndeedYaBoy","Dt2MoF-0dhTkoiuHIMKfK-Qfram2A-RTwy5J9Zjmxi_t-5Y",123,174,139,313,55.59
"CodyWasTiny","pJRClRBT5Pm1c0wS0NaHgAJ2PRMvvKt5_DVyr497UOQMLcQK",220,209,167,376,55.59
"my dogs alt","ht1iznNtRdNDNKMkL88vFRWu0_NvcNFGQ1FFnWIm9i2lJ4Hu",163,219,175,394,55.58
"AM0NGUS GUY","mRXnc1zbgLDEdo07iZB0IoTdzv4pcrsTTDqq7413RrSoCV8y",47,284,227,511,55.58
"Elementzzzz","WUSX1VnRjmhmtnZxsn0fLiJYbqpg0oF3qFzuUUomnn2lKrU",1,95,76,171,55.56
"wobamr","uWNsNQIpuElyAT2kHfQVTLdq16oE2CI9jw7_02GGSei6XRHjlOdfEeZ5EQ",35,155,124,279,55.56
"dotorimuk","jlliwu9LcQe2fBCJ3nHilH36dUQrT4fDvpop7mKefhRg3sx4",30,325,260,585,55.56
"aninjaponyx","3iHbzIUYCls0dBaUYkC6_8ph3-LQAvEqnpLT7AtBnWoCQYk",195,290,232,522,55.56
"Solarcellz","d4c2CSRzWjlT8xl9Laf9auQN615zwFAvJ6HbQ1IyP6wDzyE",472,100,80,180,55.56
"Dieinsunrise","O5MXuIoDkINhCB4aUYuDu_nwLbCJY0mMHFaeSEBVbnKYY7y0",8,160,128,288,55.56
"jamaican banana","rNBXBPJnjoh40ykzLMgsTDALzKpdvLAAMLtv5eeKvEIS-wSA6q4IMCI1yA",366,115,92,207,55.56
"wmvvmwsrv","s-qT0RXc9AOyILl6dKlw8p_RK8lg9OnDUrXg6Nj7JSFD8H2lEZ8D7nechg",128,165,132,297,55.56
"dont play ezreal","iihje5KiG9lOZh4EC4zz6pDhamInLr-k0Jluj-zkk0E8eHE",1,90,72,162,55.56
"Rukø","9lS4muSE0y__Q2JIsst0i8d_QOYL6D3Fooo-fPy1W4ozKIg",286,206,165,371,55.53
"Ømusubi","1yhqXjHM4bwngzx1zBjdRXx6hYKS4i08bZ8pHzLFh4dSVnI",265,176,141,317,55.52
"positive mental","mRwGK9juVasok2N7g64WYvdtLNopRlAUvqfWRfo18NtPG_A",288,161,129,290,55.52
"Extan","F6qcv57Z3Rrb2o2febVGUiByz0ZkFAmO8zdPZUGLjH-mrDE",333,156,125,281,55.52
"Twitch BTangLoL","dFtqHebViEhdte4pDP2VUVmMMMTdDAy6DV411cOjzUnuPh4",434,131,105,236,55.51
"UnreaI","i9AI_D-KOh624YwhxgtNvZ9fVmYSGaI8xQAM8v8eAyVqk5ieKoVugpswQQ",91,252,202,454,55.51
"Bestworrier7","zPxp4zyGWVeRcrZhsPUgFKg_47QEoLoeUnxNn1xulBiIHSVj7GqOoE2FYw",98,121,97,218,55.50
"Useful Kindred","3HqbFhk5x2rpEHrO9wLK_SUOsUKIGAQdIOuyRCQivUyhgnTL",67,106,85,191,55.50
"Dinna","RVmKiINbTwQVRjhImxyL5A3RlXBEFdGhHHbcSRV4VRzX2yI",374,116,93,209,55.50
"Dinosaurus","mkTr0qP_z-itL40QD1jfH-eg0Q1YwfZ9pN3ZooOrsAUM5ug",221,101,81,182,55.49
"Pålette","C_jjP246kZvnps68qOaByuHM1qefh5w83hb72hRCPIWEuio",34,187,150,337,55.49
"EDG ClearIove 12","z5CJeezEBHZ3uboHrmqLLwr0Rte3440crjMhd-7ywF0Uab8",160,157,126,283,55.48
"rumomon","gDrIZUhfX95ct9wsIjLdKI6BVsEzLunEv9VUDc0Ex8B1FcSkI_rCs34bIw",293,86,69,155,55.48
"SUPERSTAR1","cNlkqI8BMgrjlVc_UNqLZM-vSP0iRWJq3rCUl7Zjh1-wUK4NtMbhIH1T5w",142,147,118,265,55.47
"Noctuss12","9s9Zn0xeIZHER5krVNoBZOR-fZMhQEcH42cpcf8hwK3B5T7_",332,228,183,411,55.47
"Riot isthatthem","34MJTFXYCg16YlCsMUF1-QmgqezqBhXPIaboswFqe3V8YCE",363,142,114,256,55.47
"lllllIIIIIIllll","Lj5VyKHa2o0OZJqKfwVgQFiX_xhF5-ebnMGJzWJK_L1nprJc",68,147,118,265,55.47
"O81","IKiKv1fXuwhO4lzSG635R58eea0GxIFSaGPwfgs1cfYDo2_J",440,132,106,238,55.46
"dlwlghks","OexL6262GTvZjYcSpTQbmkXLxSbDsRgjvVTI7J-uMq51mc0",108,132,106,238,55.46
"CastleSmasher","qopScrJQ9mmG-I8RJTjc3HAR5IVT-jg_2mnGKMhKpJ6IrdY",372,132,106,238,55.46
"hvedbnpqs","1i0CPYhrehJHmB0mpUiE-zIX_yl96_RSmYEiijapuQwCb85mFdjB2aHuFg",18,320,257,577,55.46
"TBones","sjFqCkCEmDHhYYeWuxPuvIPGu-ZkEYFQ37YOGLbt2h7D8h4",390,158,127,285,55.44
"sonvu","sxG7xR939RwOz1Na5S0k6rDYEX69ws_cLcWViH4d-huJ4vc",28,51,41,92,55.43
"Xepherin","VkRYQx--CXwOehfbm3LAkDyxlQjH6xb62CHZrCw6AlKk37c",45,148,119,267,55.43
"Li NaiNai  Sorry","ipdtR0djDirccChi5DTclbN4q8KjaAtpqZegJQlkS0XJ4Lg",308,51,41,92,55.43
"AłlPro","sJeR2ONh8bOKcNi14FaEk0k6sYJDSk0G8KRg3c9yKe_ojRx2c--b9qCynA",105,133,107,240,55.42
"Grundle God","pPmGjNy-0iFREPo_RM1eHXQSL3UtoTY1tZdwdYezwNfuiWg",140,210,169,379,55.41
"Cardiac Arrest","qOU9mNvyfnsk-1-ylMeXomz5tzvRlvUoUKsJB0vAajKeL4w",94,77,62,139,55.40
"Tyrannus","w1hzO4dLGkt5oevPGdLx4QzPa-TTgJ48csK6jKvUqTkPzI64",156,241,194,435,55.40
"BlueHells","HaAzy_H0Y6VV5C38Wo9kaN_z_Yx1cQNSKkgOgYNCtMQNa4rfxDtvykW5KQ",259,154,124,278,55.40
"Lux","hLX8rpSvpTcaD1XDRe0DH2aLlV3kXzJ9OFK_haJhtSiv9pE",258,72,58,130,55.38
"auburn flowers","cgwI5bX5K-zkFqQc3Ro7UGW6_KnoSf8NRbmxmWMY2QFwOW7n",0,72,58,130,55.38
"TwTvItsBoyWonder","sdcIxSlRBsknk-6vIsq8hqohr8X1cLgd_K5nbFZuwjTzeH0",0,139,112,251,55.38
"Top wo Nerae","D2vOXnZC1bDRkOeK9w3rooKv8aoBscYtQzHLEakmPPVM7DQ",113,72,58,130,55.38
"M9 Eathern","_imWxN15z8TABMNHbp0_5ytOzRpsfSgpsC6_xOMwNIzwaoIM",311,170,137,307,55.37
"Fairly","Y307FCDjyAPnakAo7cgQZARwDX_Qe0PZqB7HcJPbExA7JEg",160,134,108,242,55.37
"Holyfk","OpU_KhDq8BjpW_jTAvNhQF1TuszAuRHhHfAYAYnxFeTh8Vg",359,165,133,298,55.37
"DankDankDankYes","vtrScJsQ2t_bD5GgF9qDNsSnvMnIp6ZzsdMDuBIvFTfu7WzPic6M51vxFQ",184,155,125,280,55.36
"Xicovon","ggYbXotn6bxG2NHby_bmdxjOtFbM-1_rnJBuMmIhheZ9Qr0",51,186,150,336,55.36
"CE Akita","KBXtA1QEZmYnRiODzoz17HgaZa1fXpBoukiCMlNFm3_FGA8",70,62,50,112,55.36
"Tombliboo Eêe","p7EhzwU_B3JHcPiADf9qJ6GD-CHihRLe8GtsplFPB7eVBwA",14,93,75,168,55.36
"DeKuadro","i8RI_R4XugiGgdcMSRAMQVI8BQIMcV2w4gmHhbejY21I2ik",347,228,184,412,55.34
"Gray Paper","eNmj2646KqwEqWAyUVKFIy3cYwN81amfzaWNgJa5KpwfObo",135,140,113,253,55.34
"Ho1Pot1","H4kyRxoleJDzuOXpWJR2Apqoft0ZnQQrKIFpUTC0ZiJFgugK",1,374,302,676,55.33
"My dear Zero","itAG0lhE-r1MZHmVGXbem9PVcWfyPlP_4ZyMGsHmPjbv147e",81,83,67,150,55.33
"theclutchfactor1","7LjyBQanVkt-DvdkIyivJd-Q00_Kpvp5wwdRQ3ThnoPzg_BY4ctMNWyc0g",158,52,42,94,55.32
"pucci goat","MPu-dPfHtIFFCqA9dw81IiZFfg3lxIlaowO8e13jlaSnNdx3Tz2gUdaLEw",426,213,172,385,55.32
"Piemaster","jHpcwBMKhBu88aypT353HWlZmPfPMv7G_VpAqX_84i38b7E",60,78,63,141,55.32
"XXHEROXZXX","FUrjM2TdJ0CgMnQeAVqe1AI3cextXpDRI2Kyfh-mAjPF7wo",163,255,206,461,55.31
"Lêaf","S_nyr1kUVFbL3jpWOy5W2Pf1g9He6Fir6DuOIAaKY3F-8-D0",259,99,80,179,55.31
"Sveronaingab","bb3qnKnnKpah4C4xlFPMR5kB2eVO_1QfwUz8TUrowESbjX2UBbblT1dv5Q",117,99,80,179,55.31
"devalRDH","jZb-uqGCJC2NhGcz4_bvblj686xMgW3GBtrYpgkWA-sPyzk",179,281,227,508,55.31
"kRYST4I","Lt1HdwRczfkR2RA_mrsXrmE-2h4WTNXL3aQr6qfBjm2TxC4",234,73,59,132,55.30
"swagkiller23","9UTMKwBrFJyKSt8A2qHlRwUsLGydSvFFOr-aEdtIrZmiE3w",266,141,114,255,55.29
"Fokko the Furry","QHVR19PauLsu9x8ViReUurMVf6jyFPuLIVP_nmgI3a7rLs4",117,183,148,331,55.29
"TLHonda Gankkk","kGeaoma8MQfxf_k2NgK2q4XL4ktMDY36sKVhjFlWsG1mq7m0iPFPVJd8uw",220,94,76,170,55.29
"FAAAAAAAAAAAAAIL","hUzsX2tDLPI16wI3M7le6VHrnB8JuJ_oybHLDWWgIVfqEhd6ZWTySUDG2A",1,136,110,246,55.28
"Adouphoof","wVsnQmIpd4__oN1-qvVvhlMbTRi5wCUfleuiqLB-8YukWbM",140,204,165,369,55.28
"HĄ1","EvM2xkBcgDEomttaaahyNBw_6HkQIupLAKxhOUCybIKHlvI",36,89,72,161,55.28
"Mungar","QpLD76UIfrl6H4aHEZ9I4DzHPWdMuvebPSZXyo6qWBGH1qzjcp6d60C0vg",78,283,229,512,55.27
"GIG Blank","arSKHb-XX8yv5IzMP3jVfibxtQoYgdNlwB9j0ufoAN9_CNE",1,215,174,389,55.27
"KnightRoundTable","Ai1EZbLJqkINkVJTgk0xK5M-1ZJN56XgqBFniiVZHPDSMxE",443,131,106,237,55.27
"Berei288","ILwlHqirIb7QfQzDzTgYwTttijRG8dPANSC7JXvhlxNGGtw09siBkLyiwQ",1,194,157,351,55.27
"ioplkmjugwacv","VQsh20vJBx_wYP50C7x-Yk-FRP7o3Gb_oZaqdjWbW3-6USy8Rjv0nrH5MQ",445,294,238,532,55.26
"Xayahnara","o9lUb6oCERaQfb_aC3KAsgZHH2UdMM-ekoYN6a6fgqME8SI",439,205,166,371,55.26
"arcatesythe","KWB9pGxwADkJAsCBeE_1Fc1TzjdQQcllQhXVbq6SXqMer6M",0,168,136,304,55.26
"Tøkyo","NKepL76SF4VcUfQEetkT4yO5uSvc1V1pi2jjJiAU5cui6yPq",87,100,81,181,55.25
"Vñeráld ","9miFtZA5fdy6-PR4sGAN9oox796ZyvzZ6r0zNvzyARItqD4",0,163,132,295,55.25
"175","3Rj0EO5orHZpg_xVvgUzuotiCjjG53dIUVgc2Oo0HNvrUXI",284,258,209,467,55.25
"Reiiterpallasch","0jd-mJQV9uFtpmR55per-mBxqdjRln3r0QOrFy6YLkTvY2cc",177,174,141,315,55.24
"Shed12","QieKqMBpuuMJbxdR03dg-vTs62_XrsVytBItbuoHurGLX9c",0,174,141,315,55.24
"TempName222","g8XzbmgeIgsNJOy626_Hqszjc_oKaASB5Xc-2pUSeWEuQaD9GOrM9FqZuA",218,253,205,458,55.24
"kanini","84Mvk1RRbCf-jRFAQQgJqOdGoxHIWDMlb5mhK7Y2y1aad0Y",225,116,94,210,55.24
"Refulgence","U-d30eh1WDkMJA30l7gHxp3ZpRITj8i603qV4r3s8V4fBSg",443,290,235,525,55.24
"hun zi fu zhu","yZSL706sgwrk9hlvo8f5OO4mdZR13BeGgJFx1ICw-4yCbCtC",20,132,107,239,55.23
"egghueddfgjksgaj","NQieEC52j4Z0ByW_-5H7zpU3iCbx1dMny3mTBpGv_H5FEyv4",346,222,180,402,55.22
"Chords","Y4CWRphLWNFks9WXVC_HvjWWCfdh6y44EDy6phsPnUf1gdw",1,127,103,230,55.22
"Wohx","MD3pUCIw9glF3WySCgyLBqHQLz5PyzWGTj8aYcr7jwbBnHQ",127,291,236,527,55.22
"Såmira","_641f0xP2U1xljSuzzBgffuTnfVw2MeF8h2k6KJYay4404ke",143,127,103,230,55.22
"ThanatostheGuard","Tq9Sl55oyyOlQJUJ6XJzvMpY9ZEa0jggRWjnbNPUHU6owRs",61,90,73,163,55.21
"DieUnderMyAxe","kF9ZHYB4ugaBWBVcAAT2ypj_vXB-N8VTWdzk1ES-9yIwEDY",57,318,258,576,55.21
"Jenny Mud Five","hY8Yz0f3EthiX8ckciM9bzA9clk2rhjFg-PHhbRuEwfZhtolfTtnVpk1aA",212,53,43,96,55.21
"Pusheens","9vB-UUlKQV0bOsRYPNcSXFdEt9vambntH7MxRJIh4boGc9k",165,159,129,288,55.21
"ohg","FNqLrH8eFBy3PKMi2kCg0SV89pWPXMH9Iex_NXW7V7-2B5im",464,233,189,422,55.21
"hiaa","scMAEYTuoxqSCfHexMdJYMlOMvyUBcllNwQDSsC8UpquWB1h",122,69,56,125,55.20
"MrNoodleHead","4FMeD68CcIVI2-soie8OBUn6cJru8SITk6iByAizslMDsW4",211,85,69,154,55.19
"ExuberantRhino","MOx7-ale-K3iisL9lynpsloIXPFT9apWHXbItXETd4U5zKD2ZAoFli1AEg",27,288,234,522,55.17
"Akuvis","ngnv3NGQpRA1wbS-KalKJ57__OLPtn9RfdoEQnU5maW4tRjC-XYV4oXVjg",400,332,270,602,55.15
"stinJu","2FsawoJBjeTUrc3CzsKRckax0D7jK_GQe3vYQLFrC355WCg",0,225,183,408,55.15
"SupaAtNA","DOaNM9PppgPT3IrLmVGnPbWgY_lvPUuFiNtn1B5KFHtSkVE",302,91,74,165,55.15
"emiyaa","wOzbo9i9l2xEtw7IaKTbJbnut9LaFLEcyXRsME6b65N-OlM",430,161,131,292,55.14
"IVAAAN","JT1Up7atFQhUEUyqQSyKDxWsX-C-RNcrbhW4S2tn4kCyeGOwc5_xiCG1Jg",246,204,166,370,55.14
"Swords","7P0xwVcLPhyG0ovM4e3UaxUKKLw1D6C8od3ofGjqamxkDDs",288,102,83,185,55.14
"L i ã r","q5bz7qI1bsde-rvTbHuzJQ2tzQdPOs0WQnhACyjKXY0Wsiux",122,145,118,263,55.13
"lf Juliet","glB8TftPVAW809-WPDLRjdlZ77kfSIaTUbQeA4rtYBxeBtU",22,43,35,78,55.13
"BUFF TF PLS","esGtJD0l7bfM8W1peiHiPcHGdS9Ad3USDpnFE-KsP3NwjW9N",341,226,184,410,55.12
"Big","3Qnpzk_1mM8dWbdMN_j5r902aTRs7XjRg5p-stTM0wRaDkQ",114,350,285,635,55.12
"live Iove tickle","YcoJaCePCbr-V2YS_I6O5RvZvREh1Fnt0uJx4wDYQJs78rg",415,259,211,470,55.11
"Muo","BFGuEibX1wX54G6nFcf7csaUMQcH4bUlXY-PXeuxpSPgOO8",160,178,145,323,55.11
"kid intellect","H4EPg-8L84Rv0_QdckwEr7X4TYj1VhyO_xPu9nH6GImKGyA",394,249,203,452,55.09
"u get no hoes","qfVHwb1AxALAO2pO2t1wZ5fzuDpAa7BKoIdm40nQqpHv_2ENLrAlee_jQA",149,211,172,383,55.09
"steeli","8SKtyJWmiPBwN6_2Kthk2_SD9XIgQ5z2PQObS3gzx3Sp",417,103,84,187,55.08
"Workin On Dying","JfRK_w0rwDcVKRt1Uscl67d4oA2SaR3axsinw81Bm32p8nhb",278,168,137,305,55.08
"TwTv EdgeOfZed","XASuCJgQw7qaJ0ct9XahB2Ql5N6x-3jL-cybDn8QJ6j_f-M",125,130,106,236,55.08
"Kowo","YmzP1zbicA_mVWZ4kEnyAZV6zylAmj2MFiClOYV4gzOUcnd3",79,114,93,207,55.07
"8052017","krl4MNrhjdd6HBCPpl3UIpIu3avDtIs-YqKbA7oAUgPFK3c",1,38,31,69,55.07
"Gilo Lord","7ZU35JrhX7E3XYUzkLnuCLrSfupZ68HG2zYGNOBDgBmTnHc",144,239,195,434,55.07
"foreveralynne","PQ8aSaoh4rOO1sB4b4n592Lsa3mKVODABuT1ZLAIUyafmePcbN0yd_u8Gg",397,76,62,138,55.07
"Paku v2","tOhKiNdvqGhg0ffb_cz2GGplLDQhQ-VqwGPHyPjPDpVcIGA",53,125,102,227,55.07
"DarKCoS","f1C7ebta4znyeFowqtfaqI2SD2ZSBs_uTxfEpgt6ZC9-PXc",320,196,160,356,55.06
"DogsInSpace","gvYrUIzbDdvldRl_AbMFAciiZqKvAdVzzXSQJgZCVoHsDRc",128,180,147,327,55.05
"FeelsVlàdMan","0XodqPgP9iu8giMnsWf78Vv-6MmB2GVMj6P3sCUpc2r6E6U",427,207,169,376,55.05
"ThanhOSan","yPCtpA75TbyzBAo3yOgIJ1QCzwnenBzph4qIPRzYzZ3EVd0",177,158,129,287,55.05
"no mistake allow","lUhvY7286beImhmVcq8Ut0dVzlqTRdzyW-QIuWwmDOdpP0U",316,207,169,376,55.05
"CE JT","zQMwhE2mIH-KDvLe9p0-zxSrlpZhCdbew92vEF_5nBZNSFcITrLGBA6juA",174,131,107,238,55.04
"mid ruin","o9IoV3BSck138cJabj1mEuEWHN0JIuaCUvbLmi_BA16j4Kab",253,71,58,129,55.04
"Toxic Gerbil","KzxojYEXgbo4DGEOiDR8NBspmmLe_csUqvjw-KQi1as3xLw",10,175,143,318,55.03
"cashierprison","MsMxvalg9kQqtVSeg8Lv9qAMHxo8kMpxodeM5wi7C6NJV2dOC09QkzlVzw",238,312,255,567,55.03
"Virsep7","b779SWk7uCNtMZsJUa0MbaZOuQ1Dh5gB98y75mTj2SDRhB-b4MZlGmI28g",48,115,94,209,55.02
"Good Sir","AhOaCmvBgejZuCrVEv0fMQKw0UFXq_rIbha1G1Rl_nxfP6w",190,115,94,209,55.02
"BØDY","ASrPO_ZRTmH5w57EPj2GvwGDCJDi8sr2ZQWKcLmsc4F8_b4",369,137,112,249,55.02
"Chenault","y2LWDO1BAJyU4WZow0pajmU2FR8PzmQYHLuba_zEx6lKJIU",163,225,184,409,55.01
"wqwq","pNOKuQ6ZhmvdkGgt2My6XMO1UsXFCI9KdVC9f9nubBSeQtPw",1,192,157,349,55.01
"Abzorb","vQXSu9THpYp0Wg28tte6f-ktGxfqLkkNmHDNEciGcA3Z47I",111,203,166,369,55.01
"Ajiro Sh1npei","xIxH63ljre2tE2iNshDSrVOYUt1bIh_XoyA0e1LFnioCj9I",372,418,342,760,55.00
"aphromoo","TWeiIPPbdiHbsSdhH9ncGnJX8CzwQEWFuwbKCverURnD",50,66,54,120,55.00
"Buriburi Zaemon","_iHlQpdrX-1mba7WkDsHK0lT0_T3m7RkZIsx0FwaCMkfaPk",214,209,171,380,55.00
"GúYu","Xi2I6ttH8e11b0jOp8yJsCI1FrbRR9uh_H-rzL9YDtJMj-4",0,88,72,160,55.00
"Julien","TrC15OiXWaPyj-U0kZlr1tpWopC4WNQkwsd3PHqq5_MtDn0",225,55,45,100,55.00
"ponkins","kCZXSQZ_nIhmMWrNOeU1TtmcIq4sl7N6WopjvNWvUTEtvrA",1,171,140,311,54.98
"SecondAirbane","xFD6mDpFz-kZWWyuuvkxlIjyD0ftT1zttTlnrkcynYfBd2k",93,116,95,211,54.98
"Claire Pommet","x26kLiYAItD57rkBo5elMsz79Fw4LIgjuLey4PpwcXUv_sc",50,182,149,331,54.98
"Thunder Brother","gXEQz634AbFw_H-lZPmhQsBkeQoGeorIenvcgwYvNI8PnVI",16,105,86,191,54.97
"Cincinnati","2W99zChvD68QHWrF52IPnHzuo884dxUNfwR41qhVuqQPwFg",48,105,86,191,54.97
"insung trash","zXjIaPAEKajw96qDqKBugLk5ic2xTzTkVk-nRK14AmRHRZmBvERsGflonA",49,105,86,191,54.97
"SaskioLoL TWTV","F4X_7gF4xG4vPR0i4zyZCgPlvuk5kedEXtFYa3gUIFWz7Ag",270,166,136,302,54.97
"ÒAÓ","7fCgUki1HrU53ye2qMdsw8ylHgKP5kWDvPN7gRdTiDtX0A3MdB1E3DUWLQ",119,188,154,342,54.97
"Yuzuki Jungle1","p3SnxEdN6eQiNhSamVbZUYaP_waF_0_eQNGk9ALxaNjXwJMXH6YRe_I5kw",109,94,77,171,54.97
"Voxtrik","0VaovhcVXaD93pkGTvBBnPz5ACuH2O8-tOIkV0uB0lKzCwo",175,188,154,342,54.97
"Constantine","Cr1o8d4Q5OvWYKddGqCjpQFzE8YDecLIDvG0VohT0b53DIWV",92,50,41,91,54.95
"Roamabdu","52spZaDFfALHBeBAmHyeXO2IcvcpK7SQcGKVkO6IyFqIctJuL_cixrfLbw",321,222,182,404,54.95
"neinei","6PdrZQGyydG62X8b1XXdogMSKo_IF6lPU60ZGNbeIoGfos4",128,100,82,182,54.95
"MoonLover","XfazNngrP1I7lHwBEURsmUEUK_aC9L_pEQq1C2YwSfOD-Ig",400,178,146,324,54.94
"pet owner","eaAavA1UcFAxZYCqlioJ1xhWXngZ7v85b_ubph1JCbg5GkCb",144,128,105,233,54.94
"Unseen Rengar","GRpVPe783D1GGn8RRe1nsSFvAZDYJx3BQgbtL8qT1KIQo48",32,156,128,284,54.93
"Leguhsee","QS_ZW4zDabTXYugmb1oG3pTg7TiVrmPhMm9QRx0d-3cQiA0",52,179,147,326,54.91
"RemyHadley","k2JjcRNgtUbYU2FLpl9epXjHIe3ziFZP3vVNpnbLEUyJqDs",210,319,262,581,54.91
"thebesttrol","CKqgOI1ABxQCI2lDD0vDH6VMslo0wbM8N4RzR9YdjECDCiE",208,123,101,224,54.91
"DirtyMobs 2","5jEBSlkk5gzkb37vRD_rufHMIsRUgacP4I2IQdFoKv4KBQ4",4,191,157,348,54.89
"Rich Homie Jayms","cJ1nq7WJxRGGgamTCHbmBlaF27LxJZUS92IpfD1EGCiYjPM",225,101,83,184,54.89
"Eternalwinds","_7HNtaALGJdzJbBQtOOfDaLKnN2qVI5uJYSDiSf00nwUbcY",68,174,143,317,54.89
"Extremely Stupid","_SUr0FqMN85AP9CwrUdbuq9MIk7i-_RT1PSyIjvcrHOFK1U",162,129,106,235,54.89
"PINK SNOW","9XAKyPfk-bcmzBRhkhKPZjoE9wtlpWN2XUw6_VrcGeJ9cNM",0,129,106,235,54.89
"Lakshan","YfdnpCyYOiKc1ZV0SviRrCse1Yj6veLdLoJsnm9YMbmDq0w",294,326,268,594,54.88
"MA Normology","EHJHwTNB3moe_apJe8omPnmDE9s29Wxgc8_JbHWqWSqjvsw",1,62,51,113,54.87
"Ipone7","w6lagZzDn190JHdJGR0UzZdkTQk9tSe8oJrFKS5m4WS7u5k",214,254,209,463,54.86
"Logan Richards","NND44NZLHiY3QbX_tqdEAl0px_9Ii8zyavxNIrOHWOWtLq0",121,175,144,319,54.86
"NhanBI","_iOMbEyhl7FCdPFg1kUvy60dexGAQ5BoWtGmEm2zvCNrr5A",1,130,107,237,54.85
"ban malph","z-2RUtta49JVgGcB9wFKWtoecF_VH7ADfIrrGM8mVerz0_0",0,113,93,206,54.85
"Môdern","b9k5eR5KObR05VH7cmgk-ToLEBnpzKTn0j9DUSZqPXDBmWq7FzhEMBleVg",294,243,200,443,54.85
"Rahrunhahn","uw9kbJwwELzfDjbUugTuSCshNAyXEFBcb63EguZYCnYBFOPt",223,266,219,485,54.85
"suckmyrainbow","XLAaVv0mKrL5zPmkgPlFhNV9SxXtjqzJdB6RJ9tVAVyC2S0",74,339,279,618,54.85
"Timeabuserr","jkmFwSe7Mhnwt8HauRV2b-8oxhdKQk1sqBs1ZJ1yG8JD-8s",44,130,107,237,54.85
"Giannio","ihxR-yQuzTkA9_5YBdwFyne2VlW_JWnR_2aU1YpLXh2fJLc",154,221,182,403,54.84
"Chance WRLD","rJvBDjAkbdukJjr5Hcc5FhsKTJ80865I-P0NTBXSLpvYlK6q",261,170,140,310,54.84
"T1 Liquid Simp","nh71kUmhREt-53QfLkGt4RHqrR6AeVJc3rjmdrr6dLzQAyM",22,68,56,124,54.84
"DrìpDrop","T_q6Hm9i8PybdpIxSO9LSO3Meh5RnbMuCppOdxlcSOPyw5Y",182,142,117,259,54.83
"Lord Christo II","w5F4K5zpMauu0oViNXKA6TEcxdlEBh1NGjV4XqrkgcRkaEk",218,278,229,507,54.83
"Sabó","T_L6P0lDY84ytQy1_uTdYNJNVWRkmwg_h0p99xhcS-xYQok",50,91,75,166,54.82
"23072022","UUmdMKk6R_CFZ8FsEyapZqig4uNOqUTlHovHc0uuHfXERMWbVbPPzyCrVQ",459,91,75,166,54.82
"Josedeodo","khjrpHu8xQLkF_uMrGuXmtMfktNRyzQNoQVx8pP91AjY2_Q",333,285,235,520,54.81
"antigeeous","1kdMdaHzx8GyfxaMz5a1QwIW6b0OJ9UlVhVvTiWaA7UtJbzw",38,285,235,520,54.81
"Bouillon","fUKywrlIECGL1CIMW595azaGjHr6ox0wQl1AA0BIOqOoGUzW",0,57,47,104,54.81
"pawpl","TmdOb3-FW0kMryh4JBqc2wsaapOk98POVAniTgP8NkZlKe8",1,370,305,675,54.81
"MidasViva","hjybKtN6tCUT2FCR_l0e86TR1MT75cGGI0GhyLHNi-8pszc",1,325,268,593,54.81
"chunkyfart123","nm2MBB85RCLkJ0lUC4tu159DwyB8opOK-iykm2AGA5Amo1E",16,97,80,177,54.80
"Daeyn","Ra92FTFcfilO3bSMOcz3j7rxLREhBEnqdvNsCDQjs8jXtDA",176,154,127,281,54.80
"Prudent Recluse","T3geLuOj2NcyGTcAGXoWwvVwm2FL05qvl8RaaSlmDLZQx7I",1,137,113,250,54.80
"perfunctory ToT","cmeVcy7OK3SpyQ715r4_ttx_tqJjPnE1yi5ImJrjIX8FZG8",89,40,33,73,54.79
"Venyl","BXVNaLPbMwX-ARGxKwIBABYsAe577pJ01i2fV9wVkDcX0Iw",51,206,170,376,54.79
"Large Crotch Man","WvtHtN8ar9Ky4MLdJoIDns8uWA4sdnQ5yAVU_G_Fq1HlMvo",403,200,165,365,54.79
"LostArkGamer","9T7bGHaKk3ehe4ZQ1qH21jRD7YUjd720o32N6B-EUBqFh3kiiak_DvLXZg",311,183,151,334,54.79
"mairyu","ZZU08WFrthR0k-opPQavNadMqa9Mp8LeFiI_y2ggpfbB4bQ",1,252,208,460,54.78
"Kyleg00d","BbiqtR7kZ2mT7YT3no71hlICPmwTc3yKxTLm4MiD74zrT6c",178,304,251,555,54.77
"Keetchie","xrBhiDyEtSjnq_g0sGJvUZYTnS9PGVinBW4jJlSm8Q0_jwQ",394,161,133,294,54.76
"Gwen Stacy","5DSSQUfL6FjtSK1X28XyEhIqU6p7oQsC9_phcVieoSGknmE",80,213,176,389,54.76
"IPlayYouListen","ZteUyx_8qp1kDFt8Y9Ak7_Q6RfW7an5WoEbKOSgnOjxHzxQ",408,69,57,126,54.76
"Tranquil Blossom","Z4TyzOuW6SyyMfwwQ7GFtWBI0M-cWZM4_RaV57k8ZXrB9e-E60JqalbdYQ",186,161,133,294,54.76
"lankylegs","pKmb4RW1b209Jfm3ktY5T4hL9RR3TmpzOgOu2UB-cJrXHxg",233,161,133,294,54.76
