"summonerName","summonerID","leaguePoints","wins","losses","total_matches","win_percentage"
"Xyzzzz","DIIxSo1IFYNd69_TZiYSaOBGt7Ux-yy7QpIsC9Qy7X7hnYg",146,47,26,73,64.38
"OG Fuzi","W-vrmgO5fh3uR94SmSYAq_IIQ-QwtoW5fQ7S9dya-2ElhRw",466,202,112,314,64.33
"Sc2 Zerg GM","FTdyuY5rSZCruJb4twZAXs90wGEqVENzAfJ_tmar01qLYrg_tcAMbtSkPw",88,155,86,241,64.32
"Pigcat","b7AuJOdrK-7YtsajVJpjimJYdl_1gBf2e8tXTfHfnYNQYH8",255,66,37,103,64.08
"Setz","GJGbKTm9eU3vnmwUFkgL3YzoQwPD0f-lD5Va3RYDeBShfHM",284,66,37,103,64.08
"your dreams","z0sv9D6bQFRnk7WF-lxEVVVq9dtwYntxaUTV55wTYk7DOZUFZZitFNAbig",40,57,32,89,64.04
"K1ll mys3lf s00n","16nQYaDTFEJWdFIRDcJNGoVsh-bahaP4BkFfUCPZU2THwZoo",246,99,56,155,63.87
"4MEBA","eaoCtU7APlmEdP19SdNvtr7AGVTpUPvudTvutPQB0h7ghYjA6JA49g_xvA",216,83,47,130,63.85
"Leakiss","KazxmO8ODzxSjW7AM6g4ojir5OdMu6cGSEJ5HpQQHiuHBmHNPw-oY2f2Wg",82,118,67,185,63.78
"General Thragg","g8TgnAkEiLhsDzAMmnO6SM4yfi8anbFG07-Hma1bqdOxJphD25XnvHgXoQ",0,51,29,80,63.75
"RiMuTuYuan","m6ZAUQ-JLC4HWfmhwwnmOy9jjMj0yhGpzo1945Lhtpm0GChMdMaQQYNTGw",50,79,45,124,63.71
"kl4mzalot","bUm5jI9l7bwEYI9I3CYHUfcCSJ8GAveaG-mdCTGeOgFXklI",353,99,57,156,63.46
"kevegc","oXE7UqBZp3aZe6TVo5r0Ed7Xi3v0saG61v4yB5feKrLqkFaO",1,59,34,93,63.44
"mınataur","Fco-jcvhvDnUVNKtWeno1-C2B5FTDXu2VrMf4rjLQJQyirg",61,128,74,202,63.37
"ßeards","4cSxOPEeeuaRXbZJjwchQ95P4nPo0-iK_CODHCq5xvb3MpRmc9axvVYztg",1,192,111,303,63.37
"Qween Bee","EJl_nRovJTfw3RL7IJNg66nAUzkb4ZaVb8PggQa7WeVLMWw_",128,74,43,117,63.25
"BillyBlopJew","FhU1tVYhEU1CKD1D4PRgJ-OJjGW9NKJOry_ji5wBDH1dDytJ",453,97,57,154,62.99
"Pogba1","2QVINL8ec64I-oY6gw_p8L84X7QbNHrWiJakbPTdLyX7yL4",175,68,40,108,62.96
"TSM PubeSlayer","vKTjxmA-He_8vU4-werl5gRZSGnGzvgzrl7VRtjRQwvmpCbBbxcXLOw93A",36,56,33,89,62.92
"onnou1","DiMkXtL9qc7X5iEYL7POd6F_POgcenilCy3bNgcZ31WHj6eLvrcQec9yAA",45,61,36,97,62.89
"ollaU","WW3RwcUwg6S6KHD7Ue2DeDRXl-kQSJ35Cha7pNkuZZrMtAn8vG1Hg9z5wg",1,69,41,110,62.73
"Blown Away","ApBvnlFuwfua6wuKiwEc9_7y_3gD5Ouj9hodoKsU1LEFX68",317,222,132,354,62.71
"Night Rose Vayne","viSjLCdFjFoh0C2JYA9-XyOws0Ibx7fytBFiD0DnAofgq2s",153,52,31,83,62.65
"Ancestor","AzlmJHoIIQ3Gcxx1odZs92p3GTtHbNebN3FR86Zida8CAU7934lmlMLNcQ",425,97,58,155,62.58
"snowcard simp","sPoTqYLpFe0_GbIN1xo6M19IIpQdXI1V_a4t7E_iMXn2070f",302,70,42,112,62.50
"PokePoke1","XAaTbjLxmOErskOP-55UsLJJslxpX8iIZavcSNlaZRyVqcQ",370,125,75,200,62.50
"GALI is Artist","075DnU0i6BTUGb9Mkz_aWV_Ibvxb_CNLg5m2albcCsUtY33D",90,95,57,152,62.50
"ad diff","gUNkftlyfaO0gke7pVj4mSsts-LaOMWCTZNzII-ReDTCJZO7",107,65,39,104,62.50
"Wump","VKoj1QU-HCv3B-q8ErsUC-hLrDfzkUg5plQxq6lG79TlS-8",122,171,103,274,62.41
"Buff Lux","TR0KN5xRXLy3wg-cga2700uAZNkWFNtKp_bxvIVE8FGNlCV7z-tafM3HOA",216,88,53,141,62.41
"Stalling","nQIj-Av4fsEnqHKZ5GHoHR5zxucpejoXPYpUdjb-R-hQid63",49,86,52,138,62.32
"Riot Koyuncu","s0UsqkwnGeWVFWUUTVsWJogaL5SyUR9ZT9q-O1JmxJPpJXs",298,43,26,69,62.32
"PirateHunterZori","0_5ImAPtiR0KIXpoPSgJFxr17kuSDblD-tT0pTb2QSBQSsg",96,81,49,130,62.31
"sebas","g6fPC13jhIuNGoujeuSTMHA2diImUhQdKSCLRnr2VP6tVAk",118,104,63,167,62.28
"451asda5r","6uvODRHC9D1lZvVh76qvwGBn7rhP1PHV6N6-xL--3wwlHAotGA5LJsWHNg",114,99,60,159,62.26
"Li Hai Xiao Zi","Cug6QRCyf4pAdKxAb1M0ATT_g-rWk60E9e66bY3uRILSQoM",165,186,113,299,62.21
"Johhny Joestar","b_yozV3U8KzkGua-jb-IKkYtRUAhD9WBNjUl8_ma4ZIrQeNkiBuTCCi1DQ",97,79,48,127,62.20
"buff weak champ","0OEuuk-ZNFgLL-x_QZ8ypE7KWprggiNgOPiVB-dfxYhZDpX00-wg3BDOpw",140,166,101,267,62.17
"SJHAND10","lvgXW1hxZuQ0aC0yVBR6pSh-brViFP9Fbv2ZDqItTzaK4DBOmOx4HvdkGg",20,92,56,148,62.16
"1999 10 27","6JQ3el30AQrJXksl44i0AkiR0rayOixH-hOw28ezwYte3bbuu6qPkqGwLA",168,64,39,103,62.14
"Lucento","SOfpPBygpdDu_f4cHlcc1zq6r90RCV3oBLGuVu-wXUvNnvYhsNxbgkj2pg",242,105,64,169,62.13
"Veporgou","snGFKk-uhTJTvBbh-MhtwPMFe33OUfuwT9uk6lpjItZlJwUl5Y9bUznjbw",39,77,47,124,62.10
"fIower tower","QtKZpYD3OhbuxjULaEAIgA4pNmnZnrdtaqo90pnqgHgiMgBcvk2OOxKInA",158,108,66,174,62.07
"Ph Vu Khanh Toan","EYBbfhsHuVS8_BL5Cg8zBBKqKQwYGplgPkpVomEGbT6ki2gfzPB3K9lm8g",1,72,44,116,62.07
"Dragrlord","W519ww_nqAuuhajA7YTytCbIwnbtUG8gpIBPHpt9MIdmuw4",72,80,49,129,62.02
"XCM1","P-63lBRxVdWxX_bjXkkmeloF7NVoZgDvOARJtBcaOzBRYGH4cJLTQ5xqpg",54,62,38,100,62.00
"Gr0ß Meister","nv6dqGVnteBQ3uFiRvXj3eVX6yxsmBb6NLm0IDfsJlLenD4fo6Q1xbCmxw",200,83,51,134,61.94
"ybsılver","f5e6rD9EbpgqQkBDpqczXq1yRhYtrLnFpekqhJ_-ZDBw-1QA",305,231,142,373,61.93
"Lèft or Right","ti_EEgKXqHwCsmyuJGlnABlf5JRd_V2ZKucmPccmBn69hEI",210,39,24,63,61.90
"Fleuber Burbler","KAiwlnYmiePiDCiuvfvdbnqcolXZEWxihHwHYFTMoA3Yl6U",1,39,24,63,61.90
"beatopia1","r3gaPh2JOhdkZjJLwgRsEhIkkBNVRrRQjIiOQCSE06RgvOYj6EU1htsg_g",27,91,56,147,61.90
"no draven day 2","5GSRX3eWJEnreTy-vExyGLuGwO7iG4A_g_byf17Ues8IBhVx72yVirI_SQ",1,86,53,139,61.87
"UCSD Superior1","R8Z3cC-_E7bXn0ZowDkoYamVgSRw0pRCUR8VFqkGweIulckQwIT7fBy5hA",68,73,45,118,61.86
"7Wylly7","1x0gIe38UORfB5eWwAZKUUG8-1TOtgIIdQ3xHym-_-Aqxl4",1,94,58,152,61.84
"MAMBA MENTALITY","qAADEaQkNPKorsRCOhWKCzDw9sZPHrouKugw1xwMrukQLoK4xWdEi93DIw",372,55,34,89,61.80
"TS SI TK FVEY","mhg0o2-Hmv0uC73nKjYEohWzRBZdXfwfsPfVmncMBPYlTG0OLRBUGTlciw",0,55,34,89,61.80
"Secondly","kWleWXYRok02P70AbvUkiOYtAxAeoFmPgwQowWdgbR_ZR846wIvRrHaJ1A",52,63,39,102,61.76
"RagdoIl","N5IX0cBg0yDXrUplooQTZHTHl7mNqvjrCAfQdpgrs2Z7dyGL",1,71,44,115,61.74
"Gladgame","DLej8aCHJOuZm95RJWW8PZvzgtfFzySOG3JqCGijucr-fj3F",375,71,44,115,61.74
"Nivupovu","ctWYBfPeb9yXlBdrvQbD5X_aaqHT6avrRyfg3lTx29wR20gwrVk7fsrVFQ",387,100,62,162,61.73
"NATHANlEL B","OMrGL8h1ag9iy8Vp6Q-J-YDnUm6cGz_kL8imnMI-8BAIRNNh",1,32,20,52,61.54
"TTV lolBeginning","13vqbH6BEUbfVFYtVcFkj_R5qhzVOMldIb8WD1QGWqWUpNc",1,131,82,213,61.50
"Local","ticxcF1q912Y5jGAXxlMWO1WP36Cy50Hp7Yzh1m43CsLfeY",4,150,94,244,61.48
"Lucidiums","wJRXmDI-NxWcUjLXkiQ2lpBBjCNvwcK-qieStCstM86DKVL7",77,75,47,122,61.48
"Sołitaire","bardljQrRqle_KMGkZcp6mZasYrE2eTd1pcHFtYqi5mJA9tp",308,75,47,122,61.48
"Bowl of Bap","YvWUSbTJK9lxtRficWh-7n3rTVmtG_2te-6UPHl_0wAl2QU",62,83,52,135,61.48
"Kururi Futamaru","fn5r7kL6oc_Lb9wYrYxgNbjL3kmBIIVW9ExzVC8zPoLXZwjn5QewBDQhbw",284,51,32,83,61.45
"using spells op","_dm6_xMQPhKTttG1YRU8qr35BXe9khRlnYMCb1ENBklPxAr3SgR28yC9Vw",2,94,59,153,61.44
"Volphins","ByLl6gn2_fv5xrO-58glm1P2zHMxys1YEoqT1pDKLgJ9BmM",117,70,44,114,61.40
"hhveye","TgagYpNarXxzFvHJulOPNcppwUsVGvWrw881OV996WW55n7zOjfPdguCkQ",427,213,134,347,61.38
"lf good girl","oGzlQMMijOpjtkUQdfozcl72mUUgsxGNPd_zJpDyvnO19Og",421,178,112,290,61.38
"Dunkłe","0KRwKVYY2tiKEiwC6VliBUuxs0vzcg5RQ2hQyWVD6PztBLs",53,57,36,93,61.29
"Magilaho","YUFzFEcxEEdygePQc51rB2syzgj8kUtD_cuDlBkmnqW4P4LWhz29uinW_g",103,76,48,124,61.29
"Goat irl","1hf6ctqR5ECgEnxqPABlGdIk1cagiuouF2eh9Wo5__Ld5JE",203,114,72,186,61.29
"Sizzzle","0KXzPnow7KtVAAIZdjCeHlRD1mOvJ1E-eZ0r4ww_kciqnp0",30,133,84,217,61.29
"Nanners owo","auXYfCWOmeDcBorsAt0qqQ_cI22AV7XizpEH2Y_ObR449xE",0,33,21,54,61.11
"Mozyagi","0bpVTrQ9iQzz7O8M_a307_Ek8vyh_wg0MR-dMXPErLLbje7XIAssCfIA9A",208,124,79,203,61.08
"Toothierosprey3","m-HEvC6-hoUEA02iYDfuv5leyYm3IFai9oqek4oMtw4M3i0",1,127,81,208,61.06
"meant for you","RMiTUu0XjiLYSDytfRQBnLoKtcx0Vb7zi0DN9zR9Bg7d4qvj",36,58,37,95,61.05
"GenjisLastBreath","ga-vHwcalUgqhA47otF3kBDiHGWdCTQsYEgcpFI4Y3QoP_A",439,58,37,95,61.05
"IllllIllIllIlI","ZQt-9t8jFzxNBI_Rn2wJzRSB-KBtmwnlRDI0Xby2Kgz_vf0",345,191,122,313,61.02
"Zyra owo","FcYkaePf-tInTW0Qgq78JdONcEpbbIhMK3x-hmt2zZ39lUM",108,133,85,218,61.01
"pepen","fJcrWbNEg5a9s2LkHdPsLC4eoGjIoqJsRgGDl4FrXN_yi1SJ",231,89,57,146,60.96
"TES JackeyLove 8","VUS7nHUxSbbqrndQv21t_3QUoGCshmze-xBLFO7Oa-WqGwYh",70,39,25,64,60.94
"Sheirskel","ChmDLvhaQoJis7QDNs6xl1nUTPAqkOAFPRhgAKL5OhFWaPhUlkgwKGJ8sg",35,106,68,174,60.92
"Lost 1n Walmart","vLuqS8LBUIVxZc8GtjGwryTbMI-lhemn4pWZ2_enn54pRNY",341,134,86,220,60.91
"gaming girl","KdRVyNLe1HMYJGL5vjnmZLhpVzHMSg-hhFBvI3_uF2snx4M",373,70,45,115,60.87
"CarIos","Qk25s2b_qaEAR9UtIQwKBxPRWLIYIt3ZE4uITOGzEAd7pT0",286,73,47,120,60.83
"AP0CALYPSE XDD","QsznuSJBqH1D-Q33cdx0GF1qKBlfvybOAT1KvkJZbvmKdoyM-L9jRKIggg",0,45,29,74,60.81
"EBIC GAMER","_m81DdmFlc-c80OFxx8yT-MAe3PfrQk5WN-1Ns57a38VNnU",46,68,44,112,60.71
"kissies","9Hp2SfBs93HQsK8RNgicIy8X-QhB8oe7OhUlHacUEZr-AcGx",47,111,72,183,60.66
"Dios Kai Parker","6nkzNAlRFICPFuGSNjcVlVL5dLky3X14CatFVtryk2OotWxBX2eZTXuv7Q",36,111,72,183,60.66
"Twice Rosemary","4fpgUtUoNb60tb6o7WhWECVSEtBP9TEvA0rmoBfJCxXb928",0,77,50,127,60.63
"TexZrIs","1dUj_5WmV6pbT1bnKGxLUyVG3KLvCLDEdun9okbDIAi5XBE",31,117,76,193,60.62
"YongGan NiNi","ey2EDUR0C6iVMc9Km3Kg6h_6KAhw3g11XEGAUwbMuByLWqM",1,117,76,193,60.62
"r3dv1per","QSQn7QG_otfABYwoAGfC7VUsHUuCxYprcL_iW6_Jbb1sbKQ",202,80,52,132,60.61
"fantabeverage","VREzS-yyg5STsgf7KA2nqabcXq1Zz8uHrsluvy_U4ivnrMI",0,86,56,142,60.56
"Dragowski III","LG9iRtgJt7tORUoepeVoJOiXoFbIAA5f6OPl1JL3wUwPWKja7_8NKUHcmg",83,66,43,109,60.55
"1.24E+15","_YtytbvCUisxWksUrBwHkAPp2-ukeSG8FnvBcNksHy4KThnatWo1r5XYzg",222,92,60,152,60.53
"Dongzhi","3M0FnMlF6KgVPSTU1yLvm132znfZPOfga7FfKON1GY8bFr1n",201,95,62,157,60.51
"ina y aní","b4SJB4uBpjYHheWqDqqUrsuyEpykxMeoA3oFfW5K46zgvm-uBGXYsDrHsA",143,101,66,167,60.48
"he7","5d6O-dvDjodYv_OfiDNpNsV4hPcRNZRahDvKn_rWBPdh-1w",111,182,119,301,60.47
"fire emblem","39NTBH4URZmY8pxvJbuFy3MyMCij1y8dZWceSmdCBrDflYM",70,26,17,43,60.47
"ihwcsq","srsYlLTdxkSd3MB6JPnWTMTtZQLSveHd8HG6MZvTU-o9jeGLCxg-8TM01A",26,81,53,134,60.45
"Zëuspuncher","rysVo0fKHfChTiYrVDdm7QSnXVxMrZERwy4KsG3uuyENPzo7P9ofgqxkmg",1,110,72,182,60.44
"ruvhosh","tyzWnGUAvHiz5sjY3K6F6iYqa8xoZBVxQEPTTMo1elr0vw4VVXjqQXpvxQ",421,58,38,96,60.42
"onvucwb","DFfipz1vD4CynlwLrRVf5iSfsnq8qmGJtY09YAoLPjapiF8jQgloQ6gacQ",457,119,78,197,60.41
"Unsound","RZpikkjX3Atqtzae3HBYS-5hMDc_YGhUZ4MLAywtMiG-uUFb5O0_y31jBQ",0,61,40,101,60.40
"1234qweq","x8ILuIb0Tb99IKG_4NS3NpRCzeohDyjd6Lf8_TIKrHGsA_r5",380,64,42,106,60.38
"Eidson","uPcBUJqYT49k7adE92XbwMgYRnQo13L1DUbI6EZBfiIj-7w",275,91,60,151,60.26
"Very Lonely","BWP1MJM7-MFgI-XLWRtUjjwUbIvu0SexdiCbkV_SxX-hWS0cpHw_PsesUg",42,91,60,151,60.26
"lefdd","tIHY7T6jIW9TxpKxnSioY4RxKEMZaagf8dNwKetKx9ZYrOlHR29YNMXSqQ",1,91,60,151,60.26
"BruceWayneBTM","oVpat5GDcMAiTlyVbHsO1M7tuOCV1ux1J2b9QUVOOE7MooQ",1,53,35,88,60.23
"NOT CHALL BTW","y8wc8QI_70ptAGvYW4DiMUGDwpt148zc-Ckuv1GAlFU3Tqfh",168,112,74,186,60.22
"Mønkeÿ","UOploc9CCY9U6XahAU4Mdfk0Fp__Iedt00MuCBpvtMD7Srw",116,59,39,98,60.20
"moimmeg700","ixR6TLCHAxW_BMCKPKzBc919iBbvKLiGvPzlgXPCfwWEnzACVlowHGeBXw",41,124,82,206,60.19
"Lia desu","FQ6GTYHzq1N8S17FyiL1wshCsTHKZfLwShRg7D9fW_xPozUP",0,178,118,296,60.14
"Krës","SZUJRsxXmy8n9MiG3OF2_RDIx23shXJckkQB5BHG1pdCXo4",1,98,65,163,60.12
"Caikness","1AYhPr17TLp3_YRyS8DTS7jK7lrXXMEyrQXFRD0UgjfsC_Q",384,220,146,366,60.11
"Kaquanrax","b-MJVZuYC8LqAuYuW68lz_Bz_rrTEnmMibdgqlkMZx2dOLhedrb_2ens6A",0,146,97,243,60.08
"Ilumiss","8f6_93W_ZDu8t8dUr2XWchF5fGhibw0iP0KAkcPe9_pJy-Nq",45,179,119,298,60.07
"Im TianTian","9rbv5XBh9tpRL-Bm4Az5uretuI6gnnjZhyxCZGG-6ltkxKw",76,60,40,100,60.00
"HARDFIST 1","KmNBIFDgHXPCUcODi1LMebvdjPlzK1EHgPLLQCqP-VwTVFU",0,48,32,80,60.00
"f0rk 0r sp00n","XwhZ__CfW2hliy419HwhWuNJmebD9EHEUs_-4rMSHbDfvvM7",111,36,24,60,60.00
"Nami in heat","6f6MWhlkKsYU2l8kTR51TyZZlFrZLa7bCZKBSX1oqnEGkuo",135,45,30,75,60.00
"hiding from life","BhnuJZhw9IduMwMuU6udq2PgZ772zwJIYRAr6uaZ7AFCT1iXlh2WtmZYJQ",13,102,68,170,60.00
"Day Without Her","DCeqR6j_7lrfsZ4kBDecVh5abyDF6iXEzB5cfluaW3t3Svc",142,175,117,292,59.93
"NomadicBoulder","k6Vk7RQ7cj4vSBinZvVC7-6D_382eeTaqT-WU8FMojHoAw5T",271,142,95,237,59.92
"sjhand06","ki_CYWOXQHqLYsh0t6KjxEwa4qfrhepYnxHfSroV_P7VnTVb3YzgMtYvEQ",236,121,81,202,59.90
"GALi o3o","CxmGSgs_4pMTm-XTZ3gZu8lXjAXHai44uopkAmiIi4uEMULX",122,185,124,309,59.87
"Jmaks","S3F87zL04ltS209FNQOJ48wOn89vBMHTb_4Xd2M2bmSDbAaStINgS7PS0g",53,85,57,142,59.86
"MiniMelon","51KNgo890AFLr-1IZmjRsbOeNs-rLjnwH_HOr26OmCv7Mrw",177,161,108,269,59.85
"Flybec","YDahjzj4X2VaO1IC1Iw-miripICN8JONIDO89-y5AksMU1k",211,76,51,127,59.84
